id,name item,url pict
25,Worn Shortsword,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_04.jpg
35,Bent Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_08.jpg
36,Worn Mace,https://render-eu.worldofwarcraft.com/icons/56/inv_mace_03.jpg
38,Recruit's Shirt,https://render-eu.worldofwarcraft.com/icons/56/inv_shirt_05.jpg
39,Recruit's Pants,https://render-eu.worldofwarcraft.com/icons/56/inv_pants_02.jpg
40,Recruit's Boots,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_06.jpg
43,Squire's Boots,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_01.jpg
44,Squire's Pants,https://render-eu.worldofwarcraft.com/icons/56/inv_pants_02.jpg
45,Squire's Shirt,https://render-eu.worldofwarcraft.com/icons/56/inv_shirt_01.jpg
49,Footpad's Shirt,https://render-eu.worldofwarcraft.com/icons/56/inv_shirt_05.jpg
51,Neophyte's Boots,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_04.jpg
52,Neophyte's Pants,https://render-eu.worldofwarcraft.com/icons/56/inv_pants_02.jpg
53,Neophyte's Shirt,https://render-eu.worldofwarcraft.com/icons/56/inv_shirt_01.jpg
55,Apprentice's Boots,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_09.jpg
56,Apprentice's Robe,https://render-eu.worldofwarcraft.com/icons/56/inv_chest_cloth_23.jpg
57,Acolyte's Robe,https://render-eu.worldofwarcraft.com/icons/56/inv_chest_cloth_24.jpg
59,Acolyte's Shoes,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_01.jpg
117,Tough Jerky,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_food_16.jpg
118,Minor Healing Potion,https://render-eu.worldofwarcraft.com/icons/56/inv_potion_49.jpg
120,Thug Pants,https://render-eu.worldofwarcraft.com/icons/56/inv_pants_02.jpg
121,Thug Boots,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_05.jpg
140,Brawler's Boots,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_04.jpg
148,Rugged Trapper's Shirt,https://render-eu.worldofwarcraft.com/icons/56/inv_shirt_01.jpg
159,Refreshing Spring Water,https://render-eu.worldofwarcraft.com/icons/56/inv_drink_07.jpg
414,Dalaran Sharp,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_food_39.jpg
422,Dwarven Mild,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_food_07.jpg
647,Destiny,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_19.jpg
720,Brawler Gloves,https://render-eu.worldofwarcraft.com/icons/56/inv_gauntlets_05.jpg
723,Goretusk Liver,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_organ_04.jpg
727,Notched Shortsword,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_04.jpg
754,Shortsword of Vengeance,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_14.jpg
765,Silverleaf,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_herb_10.jpg
766,Flanged Mace,https://render-eu.worldofwarcraft.com/icons/56/inv_mace_07.jpg
767,Long Bo Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_08.jpg
769,Chunk of Boar Meat,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_food_14.jpg
774,Malachite,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_gem_emerald_03.jpg
776,Vendetta,https://render-eu.worldofwarcraft.com/icons/56/inv_weapon_shortblade_02.jpg
783,Light Hide,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_pelt_wolf_ruin_02.jpg
785,Mageroyal,https://render-eu.worldofwarcraft.com/icons/56/inv_jewelry_talisman_03.jpg
787,Slitherskin Mackerel,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_fish_24.jpg
789,Stout Battlehammer,https://render-eu.worldofwarcraft.com/icons/56/inv_hammer_08.jpg
790,Forester's Axe,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_14.jpg
791,Gnarled Ash Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_02.jpg
804,Large Blue Sack,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_bag_10_blue.jpg
805,Small Red Pouch,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_bag_09_red.jpg
809,Bloodrazor,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_28.jpg
810,Hammer of the Northern Wind,https://render-eu.worldofwarcraft.com/icons/56/inv_hammer_11.jpg
811,Axe of the Deep Woods,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_07.jpg
812,Glowing Brightwood Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_29.jpg
814,Flask of Oil,https://render-eu.worldofwarcraft.com/icons/56/inv_drink_07.jpg
818,Tigerseye,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_gem_opal_03.jpg
820,Slicer Blade,https://render-eu.worldofwarcraft.com/icons/56/inv_weapon_shortblade_01.jpg
821,Riverpaw Leather Vest,https://render-eu.worldofwarcraft.com/icons/56/inv_shirt_07.jpg
828,Small Blue Pouch,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_bag_09_blue.jpg
833,Lifestone,https://render-eu.worldofwarcraft.com/icons/56/inv_ore_truesilver_01.jpg
851,Cutlass,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_36.jpg
852,Mace,https://render-eu.worldofwarcraft.com/icons/56/inv_mace_15.jpg
853,Hatchet,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_11.jpg
854,Quarter Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_17.jpg
856,Blue Leather Bag,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_bag_05.jpg
858,Lesser Healing Potion,https://render-eu.worldofwarcraft.com/icons/56/inv_potion_50.jpg
862,Runed Ring,https://render-eu.worldofwarcraft.com/icons/56/inv_belt_34.jpg
863,Gloom Reaper,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_08.jpg
864,Knightly Longsword,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_27.jpg
865,Leaden Mace,https://render-eu.worldofwarcraft.com/icons/56/inv_mace_03.jpg
866,Monk's Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_08.jpg
867,Gloves of Holy Might,https://render-eu.worldofwarcraft.com/icons/56/inv_gauntlets_06.jpg
868,Ardent Custodian,https://render-eu.worldofwarcraft.com/icons/56/inv_mace_13.jpg
869,Dazzling Longsword,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_25.jpg
870,Fiery War Axe,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_02.jpg
871,Flurry Axe,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_17.jpg
873,Staff of Jordan,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_13.jpg
890,Twisted Chanter's Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_04.jpg
892,Gnoll Casting Gloves,https://render-eu.worldofwarcraft.com/icons/56/inv_gauntlets_04.jpg
914,Large Ogre Chain Armor,https://render-eu.worldofwarcraft.com/icons/56/inv_chest_chain.jpg
929,Healing Potion,https://render-eu.worldofwarcraft.com/icons/56/inv_potion_51.jpg
932,Fel Steed Saddlebags,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_bag_08.jpg
934,Stalvan's Reaper,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_14.jpg
935,Night Watch Shortsword,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_26.jpg
936,Midnight Mace,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_bone_elfskull_01.jpg
940,Robes of Insight,https://render-eu.worldofwarcraft.com/icons/56/inv_chest_cloth_26.jpg
942,Freezing Band,https://render-eu.worldofwarcraft.com/icons/56/inv_jewelry_ring_07.jpg
943,Warden Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_29.jpg
944,Elemental Mage Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_07.jpg
954,Scroll of Strength,https://render-eu.worldofwarcraft.com/icons/56/inv_scroll_02.jpg
955,Scroll of Intellect,https://render-eu.worldofwarcraft.com/icons/56/inv_scroll_01.jpg
1015,Lean Wolf Flank,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_food_14.jpg
1017,Seasoned Wolf Kabob,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_food_16.jpg
1074,Hard Spider Leg Tip,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_monsterspidercarapace_01.jpg
1077,Defias Mage Ring,https://render-eu.worldofwarcraft.com/icons/56/inv_jewelry_ring_14.jpg
1080,Tough Condor Meat,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_organ_06.jpg
1121,Feet of the Lynx,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_wolf.jpg
1169,Blackskull Shield,https://render-eu.worldofwarcraft.com/icons/56/spell_shadow_grimward.jpg
1177,Oil of Olaf,https://render-eu.worldofwarcraft.com/icons/56/inv_potion_12.jpg
1179,Ice Cold Milk,https://render-eu.worldofwarcraft.com/icons/56/inv_drink_milk_01.jpg
1180,Scroll of Stamina,https://render-eu.worldofwarcraft.com/icons/56/inv_scroll_07.jpg
1181,Scroll of Versatility,https://render-eu.worldofwarcraft.com/icons/56/inv_scroll_01.jpg
1190,Overseer's Cloak,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_cape_08.jpg
1194,Bastard Sword,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_06.jpg
1196,Tabar,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_04.jpg
1197,Giant Mace,https://render-eu.worldofwarcraft.com/icons/56/inv_mace_02.jpg
1198,Claymore,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_40.jpg
1203,Aegis of Stormwind,https://render-eu.worldofwarcraft.com/icons/56/inv_shield_06.jpg
1204,The Green Tower,https://render-eu.worldofwarcraft.com/icons/56/inv_shield_06.jpg
1205,Melon Juice,https://render-eu.worldofwarcraft.com/icons/56/inv_drink_09.jpg
1206,Moss Agate,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_gem_emerald_02.jpg
1207,Murphstar,https://render-eu.worldofwarcraft.com/icons/56/inv_mace_15.jpg
1210,Shadowgem,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_gem_amethyst_01.jpg
1251,Linen Bandage,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_bandage_15.jpg
1263,Brain Hacker,https://render-eu.worldofwarcraft.com/icons/56/inv_weapon_halberd_10.jpg
1265,Scorpion Sting,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_12.jpg
1288,Large Venom Sac,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_organ_01.jpg
1297,Robes of the Shadowcaster,https://render-eu.worldofwarcraft.com/icons/56/inv_chest_cloth_17.jpg
1299,Lesser Belt of the Spire,https://render-eu.worldofwarcraft.com/icons/56/inv_belt_29.jpg
1315,Lei of Lilies,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_flower_01.jpg
1318,Night Reaver,https://render-eu.worldofwarcraft.com/icons/56/inv_throwingaxe_06.jpg
1351,Fingerbone Bracers,https://render-eu.worldofwarcraft.com/icons/56/inv_bracer_16.jpg
1355,Buckskin Cape,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_pelt_bear_02.jpg
1357,Captain Sanders' Treasure Map,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_map_01.jpg
1391,Riverpaw Mystic Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_wand_11.jpg
1395,Apprentice's Pants,https://render-eu.worldofwarcraft.com/icons/56/inv_pants_01.jpg
1396,Acolyte's Pants,https://render-eu.worldofwarcraft.com/icons/56/inv_pants_01.jpg
1405,Foamspittle Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_06.jpg
1422,Worn Leather Gloves,https://render-eu.worldofwarcraft.com/icons/56/inv_gauntlets_18.jpg
1438,Warrior's Shield,https://render-eu.worldofwarcraft.com/icons/56/inv_shield_03.jpg
1443,Jeweled Amulet of Cainwyn,https://render-eu.worldofwarcraft.com/icons/56/inv_jewelry_amulet_01.jpg
1446,Blackrock Boots,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_01.jpg
1447,Ring of Saviors,https://render-eu.worldofwarcraft.com/icons/56/inv_belt_27.jpg
1448,Blackrock Gauntlets,https://render-eu.worldofwarcraft.com/icons/56/inv_gauntlets_04.jpg
1454,Axe of the Enforcer,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_21.jpg
1462,Ring of the Shadow,https://render-eu.worldofwarcraft.com/icons/56/inv_jewelry_ring_15.jpg
1465,Tigerbane,https://render-eu.worldofwarcraft.com/icons/56/inv_weapon_shortblade_15.jpg
1468,Murloc Fin,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_monsterscales_02.jpg
1470,Murloc Skin Bag,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_bag_05.jpg
1475,Small Venom Sac,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_organ_02.jpg
1477,Scroll of Agility II,https://render-eu.worldofwarcraft.com/icons/56/inv_scroll_02.jpg
1481,Grimclaw,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_13.jpg
1482,Shadowfang,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_13.jpg
1483,Face Smasher,https://render-eu.worldofwarcraft.com/icons/56/inv_hammer_08.jpg
1484,Witching Stave,https://render-eu.worldofwarcraft.com/icons/56/inv_wand_04.jpg
1486,Tree Bark Jacket,https://render-eu.worldofwarcraft.com/icons/56/inv_shirt_02.jpg
1488,Avenger's Armor,https://render-eu.worldofwarcraft.com/icons/56/inv_chest_chain.jpg
1489,Gloomshroud Armor,https://render-eu.worldofwarcraft.com/icons/56/inv_chest_leather_08.jpg
1491,Ring of Precision,https://render-eu.worldofwarcraft.com/icons/56/inv_jewelry_ring_14.jpg
1499,Calico Pants,https://render-eu.worldofwarcraft.com/icons/56/inv_pants_11.jpg
1504,Warped Leather Bracers,https://render-eu.worldofwarcraft.com/icons/56/inv_bracer_07.jpg
1515,Rough Wooden Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_09.jpg
1522,Headhunting Spear,https://render-eu.worldofwarcraft.com/icons/56/inv_spear_05.jpg
1523,Huge Stone Club,https://render-eu.worldofwarcraft.com/icons/56/inv_mace_14.jpg
1529,Jade,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_gem_stone_01.jpg
1604,Chromatic Sword,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_22.jpg
1607,Soulkeeper,https://render-eu.worldofwarcraft.com/icons/56/spell_shadow_haunting.jpg
1608,Skullcrusher Mace,https://render-eu.worldofwarcraft.com/icons/56/inv_misc_bone_elfskull_01.jpg
1613,Spiritchaser Staff,https://render-eu.worldofwarcraft.com/icons/56/inv_staff_03.jpg
1624,Skullsplitter Helm,https://render-eu.worldofwarcraft.com/icons/56/inv_helmet_03.jpg
1625,Exquisite Flamberge,https://render-eu.worldofwarcraft.com/icons/56/inv_sword_46.jpg
1639,Grinning Axe,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_04.jpg
1640,Monstrous War Axe,https://render-eu.worldofwarcraft.com/icons/56/inv_axe_18.jpg
1659,Engineering Gloves,https://render-eu.worldofwarcraft.com/icons/56/inv_gauntlets_04.jpg
1678,Black Ogre Kickers,https://render-eu.worldofwarcraft.com/icons/56/inv_boots_01.jpg
